Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
NEW MERAK,2019-04-18 00:00:00,NEW MERAK,RD,43 - 58 (8),18.04.2019,DER-MER-RD,DER-MER-RD,2019-09-01 14:15:20
F12D,2019-04-18 00:00:00,F12-D,RD,XXS – XL (6),18.04.2019,MEND-F12D-RD,MEND-F12D-RD,2019-09-01 14:15:20
EQUIPE EVO,2019-04-11 00:00:00,EQUIPE EVO,RD,49 – 59 (6),11.04.2019,AQU-EQEV-RD,AQU-EQEV-RD,2019-09-01 14:15:20
ASTRA DISC,2019-04-11 00:00:00,ASTRA disc,RD,45 - 61 (7),11.04.2019,BAS-ASTD-RD,BAS-ASTD-RD,2019-09-01 14:15:20
MARCELLO HP25D,2019-04-09 00:00:00,Marcello HP25D,RD,47 - 59 (7),09.04.2019,RAIK-HP25D-RD,RAIK-HP25D-RD,2019-09-01 14:15:20
ALPE DHUEZ 21D,2019-04-09 00:00:00,TF05D,RD,XXS – XL (6),09.04.2019,TIME-AH21D-RD,TIME-TF5D-RD,2019-09-01 14:15:20
ALPE DHUEZ 01D,2019-04-09 00:00:00,TFP02D,RD,XXS – XL (6),09.04.2019,TIME-AH1D-RD,TIME-TF2D-RD,2019-09-01 14:15:20
AFIELD,2019-04-03 00:00:00,AFIELD,RD,XS – XL (6),03.04.2019,SEKA-AFLD-RD,SEKA-AFLD-RD,2019-09-01 14:15:20
ECLIPSE,2019-04-03 00:00:00,ECLIPSE CR41,RD,480 - 600 (7),03.04.2019,BORA-ECLP-RD,BORA-ECLP-RD,2019-09-01 14:15:20
INDUSTRIE,2019-04-02 00:00:00,Industrie,RD,47-58 (5),02.04.2019,ALLE-INDS-RD,ALLE-INDS-RD,2019-09-01 14:15:20
DOGMA F12 DISK,2019-04-01 00:00:00,DOGMA F12 DISK,RD,420 – 620 (13),01.04.2019,PINA-033-RD,PINA-033-RD,2019-09-01 14:15:20
ADDICT RC,2019-03-28 00:00:00,ADDICT RC,RD,47 - 61 (7),28.03.2019,SCOT-ADRC-RD,SCOT-ADRC-RD,2019-09-01 14:15:20
SHIV TT,2019-03-22 00:00:00,SHIV TT,TT,XS - L (4),22.03.2019,SPE-SHIV-TT,SPE-SHIV-TT,2019-09-01 14:15:20
KIMERA DISC,2019-03-21 00:00:00,Kimera Disc,RD,50 - 63 (6),21.03.2019,KOGA-KIMD-RD,KOGA-KIMD-RD,2019-09-01 14:15:20
SPRINT,2019-03-21 00:00:00,SPRINT,TT,XXS – XL (6),29.07.2016,LIOT-SPRT-RD,LIOT-SPRT-RD,2019-09-01 14:15:20
DOGMA F12,2019-03-15 00:00:00,DOGMA F12,RD,420 – 620 (13),15.03.2019,PINA-032-RD,PINA-032-RD,2019-09-01 14:15:20
ESCAPEE,2019-03-15 00:00:00,Escapee,RD,48-60 (5),15.03.2019,ARC8-ESC-RD,ARC8-ESC-RD,2019-09-01 14:15:20
AVIATOR,2019-03-15 00:00:00,Aviator,RD,48-60 (5),15.03.2019,MUS-AVTR-RD,MUS-AVTR-RD,2019-09-01 14:15:20
VEGTER,2019-03-12 00:00:00,VEGTER,RD,50-58 (5),12.03.2019,MONT-VEGT-RD,MONT-VEGT-RD,2019-09-01 14:15:20
LITENING 20,2019-02-25 00:00:00,LITENING 20,RD,50 – 60 (6),25.02.2019,CUBE-LI20-RD,CUBE-LI20-RD,2019-09-01 14:15:20
KUR23 DISC,2019-02-22 00:00:00,KU-R23 Disc,RD,49 - 61 (5),22.02.2019,KUOT-K23D-RD,KUOT-K23D-RD,2019-09-01 14:15:20
KUTT06,2019-02-22 00:00:00,KU-TT06,TT,49 - 61 (5),22.02.2019,KUOT-TT06-TT,KUOT-TT06-TT,2019-09-01 14:15:20
ELITE SL,2019-02-14 00:00:00,ELITE SL,RD,45 - 60 (8),14.02.2019,ZERO-ESL-RD,ZERO-ESL-RD,2019-09-01 14:15:20
CAAD13,2019-02-13 00:00:00,CAAD13,RD,44 - 62 (8),13.02.2019,CANN-C13-RD,CANN-C13-RD,2019-09-01 14:15:20
